title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
IN-Senior Associate_ Python Developers _Advisory Corporate_ Bangalore,PwC India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/in-senior-associate-python-developers-advisory-corporate-bangalore-at-pwc-india-4063578765,Not specified,Not specified,6 days ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Xerox,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-xerox-4177570743,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Emerson,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-emerson-4240633057,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Pyspark Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-pyspark-developer-at-infosys-4259930169,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,L&T Technology Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-l-t-technology-services-4251110549,Not specified,Not specified,1 month ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Aubergine Solutions,India,https://in.linkedin.com/jobs/view/python-developer-at-aubergine-solutions-4257189968,Not specified,Not specified,1 month ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Tech Mahindra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-tech-mahindra-4277708203,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Full Stack Developer,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/full-stack-developer-at-deloitte-4267473020,Not specified,Not specified,1 week ago,go,software_development,2025-08-20,LinkedIn
Python Developer,Tower Research Capital,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/python-developer-at-tower-research-capital-4165260013,Not specified,Not specified,2 days ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4273306252,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Xerox,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-xerox-4177567946,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Data Engineer,Infosys,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/python-data-engineer-at-infosys-4273720276,Not specified,Not specified,2 weeks ago,"python, go",data_science,2025-08-20,LinkedIn
